,nickname,text,score,like,dislike,time,watch_movie
394,박은혜(park****),뭔가.. 어떻게 표현해야 할지 잘 모르겠다.츠네오의 마음이 이해된다. 장애를 가진 자를 보살핀다는 것은 정말 쉬운 일이 아니니까.. 사랑만으로 버티기엔 어려운 것이니까. 사랑이 변질되기도 쉽고. 그 과정이 너무 현실...,7,1,0,2017-06-25 01:03:00,0
395,rhdm****,기대하고봤는데 기대이상까진 아니여도 재밌게 봤어요 ~,8,1,0,2016-03-20 23:14:00,관람객
396,시체(qlal****),잔잔한 사랑 영화. 남주가 잘생겨서 +1점,8,1,0,2016-03-20 22:45:00,관람객
397,hyan****,대부분 20대 관객속에서 우리부부만 50대였네요2000년대 아나로그감성이 그대로 전달되어 충분히 젖어들어 관람했어요 내감성이 아직 살아있음을느끼며...,8,1,0,2016-03-20 22:25:00,관람객
398,전뚜기(25se****),우리가 도망쳐 온 것들 츠네오가 얼마나 울었을까,10,1,0,2016-03-20 18:00:00,관람객
399,네글자(rude****),몇 번을 봐도 참 좋은 영화입니다,10,1,0,2016-03-20 17:27:00,관람객
400,Minimini(deux****),현실을 벗어나고자 했던 츠네오지만 정작 그걸 배신한건  츠네오 자신이었음. 슬픔ㅜㅠ,9,1,0,2016-03-19 22:52:00,관람객
401,심서율(nans****),정말 많은 생각을 하게 해주는 영화입니다,10,1,0,2016-03-19 14:02:00,관람객
402,뿡뿡이(kare****),좋았어요 연애세포..깨어나라...,10,1,0,2016-03-19 13:31:00,관람객
403,오삼씨(ohsa****),재밌렀다최고최고짱짱,9,1,0,2016-03-19 13:10:00,관람객
404,박종근(zzon****),그냥이님의 댓글을보고 소름이끼쳤다,10,1,0,2016-03-19 12:42:00,0
405,곰(lets****),한번보면 최소3일은 헤어나올수 없는 영화.. 너무 오랜만에 너무 좋은영화..,10,1,0,2016-02-03 12:48:00,0
406,lead****,아름답고 가슴 아픈 사랑과 이별을 이리도 침착하게 풀어내다니,8,1,0,2016-02-01 20:42:00,0
407,qkda****,슬프다 그리고 많은생각을 하게 되는 영화,10,1,0,2016-01-31 20:11:00,0
408,김홍규(libr****),지금 사귀고있는 여자친구와 봤는데 너무 좋았어요,10,1,0,2016-01-29 16:26:00,0
409,silv****,좋은 영화. 그래서 7점.,7,1,0,2016-01-28 20:02:00,0
410,에아렌딜(ohan****),"가슴이 너무 저려오는 아픔. 조제도, 츠미오도 모두 이해가 된다. 사람의 연약함. 그럼에도 사랑하고 아파하고 살아가야 하는 인생. 우리의 여정은 무엇을 위해, 어디로 가는 걸까..",10,1,0,2015-12-21 01:37:00,0
411,혜움(prac****),말이 필요없다... 몇일이 지난 지금도 여운이 너무나도 깊게 남는다.조제는 너무 아름다웠다.,10,1,0,2015-12-19 08:41:00,0
412,yomi****,츠네오의 선택...  그의 눈물에 그 누구도 쉽게 비판하진  못할것같다.  담담하게 현실적으로 풀어낸 결말에 오랫동안 맘이 묵직해졌던 영화였다,10,1,0,2015-11-30 10:52:00,0
413,wnst****,누구나 약점은 있고 이것을 영화에서 명확하게 보여주므로 더 현실적이다.,10,1,0,2015-11-15 11:42:00,0
414,노르웨이숯(itsm****),사람이라면 누구나 츠네오와 같은 상황판단을 할 것이고 그렇게 행동할 것이다. 이상과 현실 사이에서 방황하지만 결국은 현실에 충실할 수 밖에 없는게 아쉬울뿐. 단지 조제와의 사랑 또한 순수했기에 마지막 장면에서 큰 여...,8,1,0,2013-10-22 15:38:00,0
415,말랑콕콕(chil****),"조제, 깊은 여운의 영화였다",9,1,0,2013-10-05 12:00:00,0
416,호이햇살(ghdl****),내 최고의 영화!!! 진짜 이건 꼭 봐야하뮤ㅠㅠ,10,1,0,2013-07-04 02:55:00,0
417,쨍그랑(hant****),조베가 너무 매력적이었다. 하지만 영원한 사랑은 없다,10,1,0,2013-06-29 14:28:00,0
418,syha****,"감성적이네요, 책이 궁금해졌다는..",7,1,0,2013-05-10 00:04:00,0
419,cand****,너무나도 우울한 영화다,7,1,0,2013-04-06 14:37:00,0
420,아지영(psg2****),..,10,1,0,2013-02-12 12:24:00,0
421,김범수(bums****),잔잔하며 아름답고 먹먹하다. 불평할 수 없는 결말이다..,10,1,0,2013-01-10 00:15:00,0
